image,sigma,method,psnr,ssim
PD_coronal_141.npy,0.05,DnCNN,33.307994309404464,0.9527342319488525
PD_coronal_141.npy,0.05,RicianNet,29.844590445694855,0.9101210236549377
PD_coronal_141.npy,0.05,Attention U-Net,31.000606672816726,0.9233932495117188
PD_coronal_144.npy,0.05,Noisy,26.106283819462174,0.737956166267395
PD_coronal_144.npy,0.05,DnCNN,32.96413827450707,0.9473043084144592
PD_coronal_144.npy,0.05,RicianNet,29.490079649718165,0.9047150611877441
PD_coronal_144.npy,0.05,Attention U-Net,30.652719942831787,0.9172708988189697
PD_coronal_145.npy,0.05,Noisy,26.100134503340776,0.7353797554969788
PD_coronal_145.npy,0.05,DnCNN,32.963177920182744,0.9432558417320251
PD_coronal_145.npy,0.05,RicianNet,29.5896302719581,0.9010436534881592
PD_coronal_145.npy,0.05,Attention U-Net,30.664599105654062,0.9105291962623596
PD_coronal_147.npy,0.05,Noisy,26.120895755491347,0.7404861450195312
PD_coronal_147.npy,0.05,DnCNN,33.07330867149116,0.9441548585891724
PD_coronal_147.npy,0.05,RicianNet,29.76979164729558,0.8986364603042603
PD_coronal_147.npy,0.05,Attention U-Net,30.847451788991307,0.9123428463935852
PD_coronal_168.npy,0.05,Noisy,26.161842519610286,0.7858052253723145
PD_coronal_168.npy,0.05,DnCNN,32.405017037205724,0.9571699500083923
PD_coronal_168.npy,0.05,RicianNet,29.599525087437904,0.9259064793586731
PD_coronal_168.npy,0.05,Attention U-Net,30.508234872922372,0.9355649948120117
PD_coronal_174.npy,0.05,Noisy,26.174825771741396,0.8140396475791931
PD_coronal_174.npy,0.05,DnCNN,32.54077283822817,0.9615824222564697
PD_coronal_174.npy,0.05,RicianNet,29.694097875343846,0.936381459236145
PD_coronal_174.npy,0.05,Attention U-Net,30.56573471164343,0.940949559211731
PD_coronal_184.npy,0.05,Noisy,26.15696281637451,0.8235663771629333
PD_coronal_184.npy,0.05,DnCNN,32.3094097740224,0.9606381058692932
PD_coronal_184.npy,0.05,RicianNet,29.547402648450827,0.9344353675842285
PD_coronal_184.npy,0.05,Attention U-Net,30.33821237999963,0.9387850761413574
PD_coronal_190.npy,0.05,Noisy,26.222751053049986,0.8295836448669434
PD_coronal_190.npy,0.05,DnCNN,31.995711819657014,0.9610670804977417
PD_coronal_190.npy,0.05,RicianNet,29.79569757343662,0.9409661293029785
PD_coronal_190.npy,0.05,Attention U-Net,30.549191924662416,0.9428485035896301
PD_coronal_195.npy,0.05,Noisy,26.108082811610057,0.8397349119186401
PD_coronal_195.npy,0.05,DnCNN,32.21777952814653,0.9613745212554932
PD_coronal_195.npy,0.05,RicianNet,30.030441860658605,0.9409639239311218
PD_coronal_195.npy,0.05,Attention U-Net,30.53508112364557,0.9410638809204102
PD_coronal_201.npy,0.05,Noisy,26.043135487856265,0.8284083604812622
PD_coronal_201.npy,0.05,DnCNN,32.39396809619679,0.9589786529541016
PD_coronal_201.npy,0.05,RicianNet,30.56600655799981,0.9447526335716248
PD_coronal_201.npy,0.05,Attention U-Net,31.15296754108945,0.9434288740158081
PD_coronal_203.npy,0.05,Noisy,26.017531989102885,0.8197132349014282
PD_coronal_203.npy,0.05,DnCNN,32.81270112531598,0.9592695236206055
PD_coronal_203.npy,0.05,RicianNet,30.86117274195754,0.9438866376876831
PD_coronal_203.npy,0.05,Attention U-Net,31.20313314056386,0.9448478817939758
PD_coronal_204.npy,0.05,Noisy,25.817255447245458,0.8060826659202576
PD_coronal_204.npy,0.05,DnCNN,32.47657700238247,0.9536788463592529
PD_coronal_204.npy,0.05,RicianNet,30.600792597224196,0.9359652400016785
PD_coronal_204.npy,0.05,Attention U-Net,31.15601364316578,0.9398761987686157
PD_coronal_209.npy,0.05,Noisy,26.142641465026585,0.6795046329498291
PD_coronal_209.npy,0.05,DnCNN,34.72984543325935,0.9427852630615234
PD_coronal_209.npy,0.05,RicianNet,31.87148133480725,0.9226725101470947
PD_coronal_209.npy,0.05,Attention U-Net,33.42830578439367,0.9335906505584717
PD_sagittal_001.npy,0.05,Noisy,26.0937133423174,0.6719237565994263
PD_sagittal_001.npy,0.05,DnCNN,33.43803607251167,0.9287140369415283
PD_sagittal_001.npy,0.05,RicianNet,30.513905333973224,0.8925060033798218
PD_sagittal_001.npy,0.05,Attention U-Net,31.667366010044265,0.9107652902603149
PD_sagittal_005.npy,0.05,Noisy,26.055959403410732,0.6985934376716614
PD_sagittal_005.npy,0.05,DnCNN,32.835073881790024,0.9270613789558411
PD_sagittal_005.npy,0.05,RicianNet,30.21610802333994,0.8917313814163208
PD_sagittal_005.npy,0.05,Attention U-Net,31.13746908187418,0.9079414010047913
PD_sagittal_007.npy,0.05,Noisy,26.099182193847295,0.7250338196754456
PD_sagittal_007.npy,0.05,DnCNN,32.68321030978741,0.9308094382286072
PD_sagittal_007.npy,0.05,RicianNet,30.188714544257905,0.90146803855896
PD_sagittal_007.npy,0.05,Attention U-Net,31.005943881023803,0.9138205647468567
PD_sagittal_015.npy,0.05,Noisy,26.112039501732966,0.7471259236335754
PD_sagittal_015.npy,0.05,DnCNN,32.58595540825499,0.9436693787574768
PD_sagittal_015.npy,0.05,RicianNet,29.923511360144666,0.9110910296440125
PD_sagittal_015.npy,0.05,Attention U-Net,30.840731014595985,0.9230698943138123
PD_sagittal_017.npy,0.05,Noisy,26.124854612774428,0.7607244849205017
PD_sagittal_017.npy,0.05,DnCNN,32.4546045167477,0.945331335067749
PD_sagittal_017.npy,0.05,RicianNet,29.890118287925045,0.9127078056335449
PD_sagittal_017.npy,0.05,Attention U-Net,30.731351676709686,0.9214724898338318
PD_sagittal_022.npy,0.05,Noisy,26.24028219402662,0.7691994905471802
PD_sagittal_022.npy,0.05,DnCNN,32.46439003169431,0.9448610544204712
PD_sagittal_022.npy,0.05,RicianNet,29.915541228020107,0.9144123792648315
